,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360
37,133.26952396921376,--,108422.62060726888,--,--,--,--,--,--,--,--,--,--,100400.5972848867,--,937.43261652772,29.197938720653458,10761.2383310333,2372.227405639447,9162.771114924835,12518.355576533959,141942.69446135804,67634.87801171505,248949.9859467221,--,--,--,--,--,3109.6482827871655,5325.989738235211,3119067.096893357,312156.0735198229,55059.2391705848,2936673.2847641995,450801.3757188194,26224.5822269173
27,--,--,--,--,--,33982.37657905715,--,--,--,--,--,--,--,5575.188806369406,204.99775589490704,597.8363243549884,30441.52670784152,25071.712111381727,4315.047921772843,789.1836775473228,8854.599701142955,2979.39363348706,2155.946451326118,1384.91464061761,5477.721545847038,--,--,42075.23223898751,899202.3426045165,9668.01132179792,29937.97112457086,6381.883286406911,55666.5809097288,34235.36009635732,15321.357870295149,--,--
17,--,--,--,--,22105.322170280422,--,320.9662718147707,96447.83957409309,--,1456.3350945380594,--,850.2903453834103,29968.61078250071,57.74662635178372,31.053617002401783,687.3742656781658,863.6433262796236,2785.509007319508,3699.1347256792033,4198.537228194045,1533.868976494875,496.0528681439775,1333.4813472814512,377.3735211118229,16675.752538021312,23232.05644344064,--,--,3228.6558930683714,7408.026063749081,10242.675189920576,2411.4290057687604,32956.50404345779,454.8692006522683,575.8818182445012,--,--
7,--,--,--,--,--,14188.620551220034,24862.411688160435,3863.5959144911826,--,5680.096654463263,--,6864.774003670124,1831197.3090274227,49979.59911933471,6314.724250457921,40234.06336983656,26341.04895114838,48919.6505513422,46723.53362617685,54298.68850346077,120103.88621256637,13184.23674628643,24329.096854794407,2009.220771068013,7777.813778767048,7352.111676792758,2673.0498743716416,24783.15906135097,54888.94561323872,--,--,454888.206797765,674394.8858222252,364585.8811439728,1997987.760696929,--,--
-3,4173.92083260014,147783.7522068231,--,--,--,1769.4737972637513,407.48105253135753,807.8896568239311,2124.8984521163147,8410.209008878419,3477.715636907619,50975.5982457488,--,--,--,282408.4705624748,11430.224965775793,8015.707361815161,885.3905420015226,4948.637232304159,2769.0416387487608,6564.313474408213,1212.892626414653,1893.155010073809,2922.5666400038062,846.8769904246707,654.70564297124,7106.813982821079,--,--,--,--,--,410.2428309993177,1496.1293941543422,16488.42509915064,4116.011189712041
-13,101.65051888075996,8.675272152188091,--,--,--,607.9584324570673,1293.4827895359867,772.0695587456353,2590.1166986100284,564.2074613936417,867.743232091711,2087.1266541131163,852.7447205165083,4548.849987720146,2104.107073713701,282.73172821405916,2517.4084790534184,423.5846881726077,308.5448763950419,1011.219546993109,753.5204600638663,594.0574747005336,2132.78147621464,853.8341548420934,753.6909811216171,1781.6597736319495,427.2471714950769,1807.5801132921074,1255.976297501364,--,--,--,--,26630.958240340653,1768.799243812853,83.07166736955072,105.42304032384395
-23,1942.8315356310952,44.85738289272159,--,--,114706.38314632447,20760.921635052975,9517.023419041261,1089.764609349832,4587.777551848009,9419.81299035345,3530.854499968017,2320.768296302404,--,--,--,--,27907.335178438716,2772.9818562700957,4953.1045392628575,2161.2165391513063,1767.8772350509335,8097.957721938292,14193.030488608234,3790.1257275873477,22482.324516667974,6477.503071409139,13732.995690589592,2173.183895136501,28.973919245710665,--,--,--,1552.0300410014397,1064.4369790433793,4409.4316460321525,9222.002906106474,2830.748557908847
-33,3805.1105724023714,38.62208517361397,--,8307.226196086262,458.01133209247246,2247.857508961899,1674.5535623720903,3732.368162602096,4138.142259805337,864.1711685974985,46185.54919024139,578.764096637718,--,242.60724909042727,--,--,15785.990244183651,28294.10974619231,48263.570808710734,3733.5534485481803,4533.723222245,23073.57568923327,13477.597738097722,5840.46385624,27682.453263766827,10811.586742148622,62284.69518259428,139.85933814218188,13021.063438057456,--,--,6569.135589846371,10896.999879318082,75.15384782252829,2953.9413201905027,31806.805980521527,4332.644172292117
