station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature
Peishih Bridge,24.92482888888889,121.21244194444445,Laojiie River,5.00,6.3,6.0,5.1,4.20,7.30,28.8
Songwu,24.943376944444445,121.21009500000001,Laojiie River,3.50,6.5,6.0,7.1,2.42,7.59,29.0
Shinpoo Bridge,25.004955555555554,121.20934472222223,Laojiie River,2.00,6.9,3.7,7.4,0.86,7.56,30.2
Jhongjheng Bridge,25.063758055555557,121.19639694444444,Laojiie River,1.50,8.0,3.1,8.8,0.26,8.62,31.2
Shiutsugan No.1,25.07744361111111,121.17761194444445,Laojiie River,2.00,7.4,3.3,10.5,0.68,7.60,28.7
Pingjhen 1st Bridge,24.920993055555556,121.19616111111111,Laojiie River,2.00,7.8,3.3,8.0,0.55,7.62,29.2
Yunin no. 1 Bridge,24.903113055555554,121.15162297222223,Shezih River,1.00,7.2,1.8,3.7,0.08,7.48,27.0
Yuemei Bridge,24.918754972222224,121.14627694444445,Shezih River,5.00,5.7,9.5,5.5,9.12,7.59,28.0
Laofandian Bridge,24.93578997222222,121.1237411111111,Shezih River,4.50,7.2,5.5,14.5,3.68,7.84,29.4
Shezih Bridge,24.960846944444445,121.09404694444444,Shezih River,1.00,7.8,1.9,9.4,0.13,8.03,29.0
Bendzugon Bridge,24.982991944444443,121.02730611111112,Shezih River,3.25,6.3,7.3,10.2,0.98,8.15,31.9
Yuanben Bridge,24.94394388888889,121.08813305555555,Fusing River,2.00,7.2,3.8,46.2,0.28,7.78,29.4
Sinhoo Bridge,24.94344611111111,121.04595694444444,Fusing River,2.00,7.7,3.6,13.4,0.63,7.87,29.8
Shenkeng Bridge,24.939901111111112,121.00271597222222,Fusing River,1.50,7.4,3.4,10.8,0.19,7.89,30.1
Dong Xing Bridge,24.909138888888886,121.01031,Sinfong River,1.00,8.8,2.6,7.7,0.19,7.38,31.4
Zhong Shan Bridge (Sinfo,24.906666666666666,120.99556472222223,Sinfong River,1.50,7.8,3.5,10.1,0.50,7.96,32.5
Wuming Bridge,24.86775,120.99561111111112,Sinfong River,5.00,5.6,8.2,11.7,10.3,7.16,30.1
Shanchee Bridge,24.869095972222222,120.99555305555556,Sinfong River,5.00,5.6,7.9,16.2,10.8,7.21,30.8
Siangbee Bridge,24.887735,120.98646694444444,Sinfong River,4.50,6.5,5.5,6.5,8.19,7.63,32.4
Honmoa Harbor,24.9089675,120.97195361111112,Sinfong River,2.25,7.2,2.5,16.0,1.85,7.64,30.0
Doochunda Bridge,24.785555000000002,121.17565305555556,Fongshan River,1.00,8.4,1.2,4.0,0.04,7.99,26.6
Sinpooda Bridge,24.825681111111113,121.06568694444444,Fongshan River,1.00,8.0,1.0,3.8,0.04,8.04,27.9
Fongshan River Bridge,24.852576000000003,121.00480194444444,Fongshan River,1.00,8.4,1.8,7.5,0.22,8.02,28.5
Fonggonda Bridge,24.85891666666667,120.94975472222222,Fongshan River,2.00,7.1,1.8,22.5,0.62,7.65,30.2
Sansheng Bridge,24.832556944444445,121.0975461111111,Fongshan River,1.00,7.7,2.3,6.2,0.08,7.66,27.9
Jhulinda Bridge,24.74768388888889,121.09359611111111,Toucian River,1.00,9.2,<1.0,1.5,0.01,8.55,29.1
Jhongjhengda Bridge,24.785687972222224,121.0576161111111,Toucian River,1.00,8.4,1.1,6.4,0.03,8.72,29.9
Toucian River Bridge,24.822895,120.99701,Toucian River,1.00,9.0,1.2,6.0,0.15,8.51,30.8
Sichiuda Bridge,24.82509111111111,120.97929611111111,Toucian River,1.00,9.1,1.2,4.8,0.09,7.99,29.3
Wanfonda Bridge,24.66806,121.119079,Toucian River,1.00,9.3,<1.0,2.2,0.04,8.62,25.2
Paosan Reservoir water Intake,24.69001861111111,121.103045,Toucian River,1.00,9.0,<1.0,1.9,0.04,8.61,26.1
Jhudongda Bridge,24.722675,121.10329388888889,Toucian River,1.00,9.7,<1.0,2.8,0.04,8.64,28.4
Neiwun Suspension Bridge,24.702031972222223,121.1832388888889,Toucian River,1.00,8.7,<1.0,1.5,0.02,8.67,27.2
Zhongzheng Bridge,24.768083333333333,120.98852777777778,Keya River,3.75,6.1,3.8,36.4,1.30,7.92,27.8
Chintsao Lake,24.775652777777776,120.96980555555555,Keya River,2.00,10.4,4.5,31.6,0.47,8.09,0
Keya River Bridge,24.796736111111112,120.9588138888889,Keya River,5.75,3.6,7.4,12.4,7.68,7.44,29.5
Siangya Bridge,24.803228055555557,120.92535694444445,Keya River,4.25,6.7,4.2,23.9,7.92,7.70,31.1
Sincheng Bridge,24.729906944444444,120.96438111111111,Yangang River,1.50,7.4,2.2,37.0,0.16,7.98,30.4
Jhongai Bridge,24.729975,120.91713397222223,Yangang River,1.00,6.9,2.2,15.2,0.16,7.68,30.6
Chenren Bridge,24.740821944444445,120.906295,Yangang River,3.25,7.6,3.2,39.2,1.45,7.80,30.0
Yongsing Bridge,24.617528,121.00581,Jhonggang River,1.50,8.6,3.5,4.6,0.08,8.15,24.9
Sanwanda Bridge,24.661898055555554,120.95911305555556,Jhonggang River,1.00,8.6,<1.0,5.9,0.06,8.03,26.6
Pinanda Bridge,24.675886944444446,120.94921305555556,Jhonggang River,1.00,8.3,<1.0,17.9,0.10,8.12,27.1
Dongcin Bridge,24.680551944444446,120.90790694444445,Jhonggang River,1.00,8.5,<1.0,17.2,0.13,8.18,28.0
Jhonggang River Bridge,24.666946000000003,120.8817,Jhonggang River,1.50,7.7,<1.0,30.8,0.19,7.77,26.3
Wufu Bridge,24.66420833333333,120.84228055555555,Jhonggang River,2.25,7.1,<1.0,60.0,0.37,7.93,27.2
Nangang River Bridge,24.65589888888889,120.86785099999999,Jhonggang River,2.00,6.5,3.7,35.2,0.38,7.76,27.0
Gueishan Bridge,24.536440000000002,120.81591694444444,Houlong River,2.75,8.3,6.2,20.4,0.06,8.42,27.5
Yuqing Bridge,24.56125,120.83944444444444,Houlong River,2.25,8.3,9.5,14.6,0.05,8.36,27.8
Peishih Bridge,24.594896944444443,120.82556305555555,Houlong River,2.25,8.0,12.8,10.9,0.11,8.29,28.4
Houlong River Bridge,24.608743888888892,120.78429797222222,Houlong River,2.25,6.8,5.7,10.2,0.30,8.07,27.6
Guanhai Bridge,24.613958333333336,120.76303888888889,Houlong River,1.00,6.8,<1.0,17.6,0.23,7.96,28.2
Jhushenda Bridge,24.44951,120.77784805555555,Sihu River,1.00,7.2,<1.0,3.1,0.05,7.10,26.6
Tongluo Bridge,24.494193055555556,120.78059888888889,Sihu River,1.00,8.0,<1.0,4.2,0.04,7.69,27.6
Longsho Bridge,24.533339,120.74787194444444,Sihu River,1.00,8.4,<1.0,5.8,0.08,8.20,28.6
Sihhu Bridge,24.563268055555557,120.75260097222223,Sihu River,1.00,8.2,<1.0,10.3,0.07,8.16,29.3
Siangbee Bridge,24.357472222222224,120.94677777777778,Da-an River,1.00,8.5,<1.0,10.5,0.11,8.12,21.0
Beifan Bridge,24.29436111111111,120.91052777777779,Da-an River,1.00,8.2,<1.0,4.3,0.01,8.25,22.9
Lanshih Bridge,24.307695,120.81732099999999,Da-an River,1.00,8.0,1.7,7.0,0.01,8.34,26.3
Yilida Bridge,24.348666666666666,120.73422222222223,Da-an River,1.00,7.4,<1.0,7.5,0.02,8.44,30.2
Da-an River Bridge,24.370575,120.64491611111112,Da-an River,3.25,7.5,1.0,115,0.05,8.38,31.8
Da-an River Mouth,24.401416694444443,120.61059722222221,Da-an River,2.25,7.5,<1.0,89.4,0.06,8.21,30.4
Ciechen Bridge,24.308151944444447,120.835937,Da-an River,1.00,8.8,1.7,8.6,0.07,8.04,26.8
Wenfon Bridge,24.312466944444445,120.830495,Da-an River,1.00,8.6,1.6,4.5,0.21,8.32,27.5
Inbin Bridge,24.347773055555553,121.30815194444445,Dajia River,1.00,8.1,<1.0,<1.0,0.01,8.08,15.3
Changcing Bridge,24.17489,120.9746938888889,Dajia River,2.25,8.3,<1.0,79.2,0.02,7.71,22.4
Longanda Bridge,24.171936111111112,120.83791805555555,Dajia River,1.00,8.2,<1.0,11.1,0.02,7.96,24.8
Dongfonda Bridge,24.26084611111111,120.82003194444444,Dajia River,1.50,8.2,<1.0,36.3,0.03,8.03,24.6
Shihgang Dam,24.28375,120.77981472222223,Dajia River,1.50,8.3,1.5,32.2,0.04,8.05,25.4
Jinxing Bridge,24.275055555555554,120.77397222222223,Dajia River,1.00,7.8,1.5,18.0,0.06,7.90,28.1
