station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature
Cinan Bridge,22.868449972222223,120.49660805555555,Gaoping River,2.25,7.2,<1.0,83.4,0.16,7.67,27.8
Chengde Bridge,22.613611111111112,120.58869444444444,Donggang River,2.00,5.9,1.1,35.6,0.31,7.49,26.9
Longdon Bridge,22.602935000000002,120.58295194444445,Donggang River,2.00,6.3,<1.0,45.7,0.24,7.47,26.9
Chaojhouda Bridge,22.56475,120.53966666666666,Donggang River,2.00,5.6,<1.0,29.8,0.43,7.59,28.0
Cinsheda Bridge,22.54219888888889,120.50416388888888,Donggang River,4.00,5.2,3.0,62.1,2.05,7.68,29.2
Gangci Pomping Station,22.504523055555556,120.46200694444445,Donggang River,3.25,5.3,2.1,34.2,2.73,7.66,29.4
Donggangda Bridge,22.477716944444442,120.459635,Donggang River,3.75,5.8,3.2,22.6,2.79,7.84,30.0
Sinbeida Bridge,22.461196944444445,120.55042,Linbian River,3.25,8.2,<1.0,1570,0.04,8.32,27.2
Linbianda Bridge,22.430816944444445,120.52326611111111,Linbian River,3.25,7.9,<1.0,3800,0.04,8.24,27.6
Fangliuda Bridge,22.34329888888889,120.61175194444444,Shuaimang River,3.25,8.0,<1.0,436,<0.01,8.39,27.8
Fangshan Bridge,22.25609888888889,120.65406694444445,Fangshan River,2.25,7.8,<1.0,87.1,<0.01,8.32,27.1
Itun Suspension Bridge,22.21258333333333,120.76366666666667,Fonggang River,1.00,7.9,<1.0,5.8,<0.01,8.02,26.2
Fongang Bridge,22.19586111111111,120.69116805555556,Fonggang River,1.00,7.8,<1.0,16.7,<0.01,8.32,27.4
Shihmen,22.123527777777777,120.77275,Sihchong River,1.50,9.8,<1.0,31.6,0.02,8.20,26.7
Erchongci,22.082791944444445,120.74083194444445,Sihchong River,1.50,10.5,<1.0,38.5,0.01,8.12,27.7
Longluntan,21.988222222222223,120.73783333333333,Baoli River,－,－,－,－,－,－,0
Linhia Bridge,22.05788888888889,120.711,Baoli River,2.75,5.8,<1.0,75.7,0.09,7.92,28.9
Gangkou Bridge,22.001496,120.819197,Gangkou River,1.00,7.7,<1.0,12.2,<0.01,8.19,29.0
Hichenda Bridge,21.988695,120.84102777777777,Gangkou River,1.50,8.0,<1.0,24.7,<0.01,8.26,29.5
Jhihben hotspring Bridge,22.695166666666665,121.02477777777777,Jhihben River,3.25,8.1,<1.0,642,0.05,8.02,26.8
Jhihben Bridge,22.701395972222222,121.0396,Jhihben River,3.25,8.0,<1.0,1320,0.04,8.17,26.8
Danan Bridge,22.760791944444446,121.04922499999999,Lijiia River,3.25,8.1,<1.0,457,<0.01,8.32,26.6
Fongyuanda Bridge,22.723465833333332,121.09519805555556,Lijiia River,3.25,7.8,<1.0,680,<0.01,8.34,28.5
Dabaliugeoba Intake,22.813972222222223,121.05,Tai Pingsi,1.00,8.3,<1.0,7.2,<0.01,8.42,24.6
Malan Bridge,22.76598111111111,121.132595,Tai Pingsi,－,－,－,－,－,－,0
Fonli Bridge,22.74644888888889,121.14232694444445,Tai Pingsi,10.00,0.5,88.0,137,4.39,7.92,30.4
Taitungda Bridge,22.792233055555556,121.144475,Beinan River,3.25,8.2,1.0,6440,0.07,8.12,26.2
Choulia Bridge,23.125638055555555,121.169128,Beinan River,3.75,8.2,4.4,15700,0.06,8.08,32.7
Lumin Bridge,22.891445,121.09419888888888,Beinan River,3.25,8.1,2.5,12600,0.09,8.12,24.5
Yulida Bridge,23.322925,121.3277661111111,Siouguluan River,3.25,8.2,<1.0,1030,0.05,7.92,25.2
Taipingci Bridge,23.393678055555554,121.33362597222222,Siouguluan River,3.25,8.3,<1.0,235,0.04,8.15,24.6
Rueisueida Bridge,23.485399972222222,121.40401611111112,Siouguluan River,3.25,7.8,<1.0,866,0.08,7.99,26.0
Wanlici Bridge,23.719596944444444,121.42623888888889,Hualien River,2.25,8.1,<1.0,85.0,0.10,8.22,26.4
Fonpin Bridge,23.813225,121.45256797222223,Hualien River,3.25,8.1,<1.0,680,0.05,8.19,26.3
Hualienda Bridge,23.923545833333336,121.59769888888889,Hualien River,3.25,7.5,<1.0,392,0.05,8.10,27.4
Sialousi Bridge,23.87859166666667,121.51874222222222,Hualien River,1.00,8.4,<1.0,7.0,0.03,8.46,27.4
Mugua River Bridge,23.93169388888889,121.53858611111112,Hualien River,3.25,8.8,<1.0,700,0.06,8.18,22.4
Taichang Bridge,23.983333333333334,121.56958333333333,Jian River,1.00,8.7,<1.0,11.2,0.14,7.96,20.9
Renli Bridge,23.968777777777778,121.59444444444443,Jian River,1.00,8.7,1.4,11.0,0.22,7.90,24.3
Shueiwui Bridge,24.005785,121.54607388888888,Meilun River,1.00,8.2,<1.0,<1.0,0.04,8.29,24.5
Chiali No 2 Bridge,24.016897,121.6049461111111,Meilun River,1.00,8.6,1.5,9.4,0.31,8.04,29.1
Chiacin Village,24.009405,121.60839499999999,Meilun River,1.00,7.3,2.3,13.9,0.49,7.92,29.2
Jhongjheng Bridge,23.980326111111108,121.61195388888888,Meilun River,1.00,7.1,1.1,9.8,0.33,7.82,28.6
Sanjhan Bridge,24.100662,121.608385,Sanjhan River,1.00,8.4,<1.0,3.2,0.04,8.36,25.4
Podooda Bridge,24.18130888888889,121.49549583333334,Liwu River,2.25,8.5,<1.0,94.5,0.04,8.36,23.6
Geinwun Bridge,24.156348055555554,121.62174805555554,Liwu River,3.25,8.5,<1.0,369,0.04,8.18,24.2
Dajhuoshuei Bridge,24.32484,121.74306388888888,Heping River,3.25,8.2,<1.0,1480,0.07,8.19,25.7
Ginyang No 2,24.435946972222222,121.75844194444444,Nan-ao River,1.00,8.5,<1.0,<1.0,0.04,7.65,23.9
Aowei Bridge,24.449141944444445,121.78002111111111,Nan-ao River,1.00,8.6,<1.0,12.6,0.03,8.21,24.3
Nanao Bridge,24.460291944444442,121.78859888888888,Nan-ao River,1.50,8.4,<1.0,27.8,0.03,8.20,24.3
Yunlali,24.573716944444445,121.84455888888888,Su-ao River,－,－,－,－,－,－,0
Bimei Bridge,24.596169999999997,121.85372,Su-ao River,1.00,7.7,<1.0,2.8,0.02,7.26,25.4
Sincheng Bridge,24.615288055555556,121.81234194444444,Sincheng River,1.00,8.3,1.0,1.8,0.02,8.10,26.7
Longdeda Bridge,24.63236388888889,121.83156,Sincheng River,1.00,8.7,<1.0,1.2,0.04,8.53,26.9
Woolaokan,24.6035,121.81085999999999,Sincheng River,1.00,8.1,1.5,2.1,0.04,8.10,25.9
Shrsanfen Bridge,24.631888888888888,121.773,Dongshan River,1.50,6.4,<1.0,14.2,0.15,7.38,25.2
Dongshan River Bridge,24.639163055555557,121.78689,Dongshan River,1.50,5.4,1.2,5.7,0.36,7.68,26.0
Lidzugein Bridge,24.669898055555556,121.81411694444444,Dongshan River,2.00,5.8,3.0,18.0,0.57,7.55,28.6
Cingshueida Gate,24.692006111111112,121.83297194444444,Dongshan River,2.00,7.2,3.6,28.8,0.50,7.93,29.0
Lonbei,24.681098000000002,121.60592399999999,Lanyang River,1.00,8.3,<1.0,2.4,0.02,7.14,23.6
Shangshengo,24.704817,121.724819,Lanyang River,3.25,7.9,<1.0,145,0.03,8.27,25.5
Lanyangda Bridge,24.71361111111111,121.772,Lanyang River,3.25,7.8,<1.0,582,0.03,8.20,25.6
Sinlanda Bridge,24.713763,121.820112,Lanyang River,3.25,7.8,2.2,903,0.05,8.30,26.3
Neodao Bridge,24.642267999999998,121.567251,Lanyang River,3.25,7.9,<1.0,300,0.02,8.29,24.0
Juan Bridge,24.84133333333333,121.82336111111111,Dezihkou River,2.50,5.5,1.4,43.2,0.80,7.70,28.4
Tetzekou Bridge,24.806361111111112,121.77241666666667,Dezihkou River,3.25,6.0,4.2,16.6,1.78,7.50,26.6
Fusing Bridge,24.817713972222222,121.812895,Dezihkou River,4.00,5.2,2.3,79.9,1.35,7.46,28.7
Meichien Cottage,24.83145111111111,121.74705888888889,Dezihkou River,1.00,8.2,<1.0,3.8,0.02,7.98,24.7
Sinliaoda Bridge,25.031796944444444,121.834769,Shuangsi,1.00,8.3,1.3,8.2,0.06,7.07,26.1
Gongliaoda Bridge,25.020709999999998,121.9095288888889,Shuangsi,1.00,7.7,1.4,17.9,0.04,7.10,28.0
