station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature,RPI_unit,DO(Electrode)_unit,BOD5_unit,SS_unit,NH3-N_unit,pH_unit,temperature_unit,,species1,species2,species3
Upper Huang River Bridge,25.17920888888889,121.58227305555556,Huang River,1.00,7.8,1.0,8.4,0.11,2.37,25.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Cyprinus carpio,Pelophylax fukienensis,Zhangixalus taipeianus
Huang River Bridge,25.226953,121.630624,Huang River,3.50,7.3,10.8,97.1,0.19,4.00,28.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Pelophylax fukienensis,Zhangixalus prasinatus
No. 40 Bridge,25.227357,121.630912,Huang River,4.50,6.6,12.7,131,0.17,4.62,28.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus prasinatus,Zhangixalus taipeianus
Jhongshou Bridge.,25.051144,121.500209,Danshuei River,6.25,4.6,5.0,167,1.41,7.42,26.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus prasinatus,Zhangixalus taipeianus
Chongyang Bridge,25.08417397222222,121.50279694444444,Danshuei River,4.00,3.3,2.7,35.6,1.47,7.22,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Cyprinus carpio,Zhangixalus taipeianus
Gwandu Bridge,25.124816944444444,121.45723694444445,Danshuei River,5.00,1.7,2.2,47.0,1.56,7.52,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Hylarana taipehensis,Zhangixalus taipeianus
Danshuei River Mouth,25.170901111111117,121.422745,Danshuei River,3.25,3.7,<1.0,37.8,0.56,7.64,28.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Zhangixalus taipeianus,Cyprinus carpio
Dahan Bridge,24.88467397222222,121.283827,Danshuei River,2.25,8.4,<1.0,57.2,0.04,7.77,25.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus taipeianus,Rana longicrus
Bansin Intake,24.930705,121.341425,Danshuei River,1.50,7.6,1.4,28.9,0.04,8.02,26.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Zhangixalus prasinatus,Zhangixalus aurantiventris
Sanying Bridge,24.944761111111116,121.35322305555556,Danshuei River,1.50,8.1,1.5,24.2,0.09,7.26,27.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Hylarana taipehensis,Zhangixalus taipeianus
Fuchou Bridge,24.99507305555556,121.43624611111112,Danshuei River,2.25,6.9,1.5,57.2,0.47,7.64,25.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Cyprinus carpio,Zhangixalus prasinatus,Hylarana taipehensis
Cinhi Bridge,25.03286611111111,121.45462,Danshuei River,4.25,6.2,2.5,130,0.95,7.24,26.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus prasinatus,Rana longicrus
Hochih Weir,24.824188888888887,121.251659,Danshuei River,1.50,5.9,<1.0,20.0,0.01,7.26,24.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus taipeianus,Rana longicrus
Hocungein Intake,24.96822222222222,121.40461111111112,Danshuei River,1.50,8.1,1.1,32.6,0.36,7.87,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Hylarana taipehensis,Pelophylax fukienensis
SingSin Bridge,24.89563888888889,121.37377694444444,Danshuei River,1.00,8.8,<1.0,3.8,0.03,8.23,25.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Zhangixalus prasinatus,Rana longicrus
Sansia Bridge,24.934632,121.374865,Danshuei River,1.00,8.0,1.9,12.6,0.36,7.87,28.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus aurantiventris,Zhangixalus taipeianus
Beetan Bridge,24.96092388888889,121.535815,Danshuei River,1.00,8.7,<1.0,5.2,0.04,7.28,25.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Hylarana taipehensis,Zhangixalus arvalis
Jhongjheng Bridge,25.021306944444444,121.51423305555556,Danshuei River,1.50,6.6,2.0,21.3,0.37,7.35,24.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus taipeianus,Pelophylax fukienensis
Huajhong Bridge,25.01021305555556,121.49627,Danshuei River,2.00,6.0,2.7,19.5,0.51,7.08,24.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Cyprinus carpio,Pelophylax fukienensis,Zhangixalus taipeianus
Huajhian Bridge,25.034898,121.483509,Danshuei River,2.50,4.8,2.1,29.0,0.92,7.24,26.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Zhangixalus prasinatus,Rana longicrus
Chiuche Weir,24.91233111111111,121.547495,Danshuei River,1.00,8.4,1.0,4.7,0.02,7.35,,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus aurantiventris,Hylarana taipehensis
Chintan Weir,24.94144111111111,121.54521388888888,Danshuei River,1.00,8.8,<1.0,5.2,0.03,7.14,25.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus aurantiventris,Rana longicrus
Chintan Weir Intake,24.925410000000003,121.533135,Danshuei River,1.00,8.5,<1.0,3.4,0.03,7.11,24.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus arvalis,Zhangixalus aurantiventris
Ciulan Bridge,24.988715000000003,121.52857305555555,Danshuei River,1.00,7.8,1.7,19.2,0.08,7.04,25.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus prasinatus,Pelophylax fukienensis
Shenkeng Jhongjheng Bridge,25.001205833333334,121.62143972222222,Danshuei River,1.50,8.2,1.2,20.2,0.08,7.50,26.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Rana longicrus,Zhangixalus taipeianus
